,model,steps,lengths,ppls,n
0,bert-base,512,"(0, 32)",36.14696822694672,1280
1,bert-base,512,"(32, 64)",32.853319613314646,1280
2,bert-base,512,"(64, 96)",34.841664045556676,1280
3,bert-base,512,"(96, 128)",29.946084015921645,1172
4,bert-base,128,"(0, 32)",37.067303414659094,1280
5,bert-base,128,"(32, 64)",33.65163969495704,1280
6,bert-base,128,"(64, 96)",35.40035740229283,1280
7,bert-base,128,"(96, 128)",30.53018767093281,1172
8,bert-base,64,"(0, 32)",38.27436677871642,1280
9,bert-base,64,"(32, 64)",34.58749903454746,1280
10,bert-base,64,"(64, 96)",36.19580553888226,1280
11,bert-base,64,"(96, 128)",31.288650391864433,1172
12,bert-base,16,"(0, 32)",42.76310904455526,1280
13,bert-base,16,"(32, 64)",40.35868433672493,1280
14,bert-base,16,"(64, 96)",42.17403883209608,1280
15,bert-base,16,"(96, 128)",36.35725613554412,1172
16,bert-base,8,"(0, 32)",52.09945895183715,1280
17,bert-base,8,"(32, 64)",49.23844067808467,1280
18,bert-base,8,"(64, 96)",52.63085855698234,1280
19,bert-base,8,"(96, 128)",44.833040351538294,1172
20,bert-base,2,"(0, 32)",163.14934432456607,1280
21,bert-base,2,"(32, 64)",171.13499967671746,1280
22,bert-base,2,"(64, 96)",192.4871341574416,1280
23,bert-base,2,"(96, 128)",170.83618393304587,1172
24,bert-base-scratch,512,"(0, 32)",54.771501519982074,1280
25,bert-base-scratch,512,"(32, 64)",53.24701413840881,1280
26,bert-base-scratch,512,"(64, 96)",63.03049038502563,1280
27,bert-base-scratch,512,"(96, 128)",58.62936361948901,1172
28,bert-base-scratch,128,"(0, 32)",56.17650728118165,1280
29,bert-base-scratch,128,"(32, 64)",54.60942410374887,1280
30,bert-base-scratch,128,"(64, 96)",63.99774247042287,1280
31,bert-base-scratch,128,"(96, 128)",59.69425488126981,1172
32,bert-base-scratch,64,"(0, 32)",57.7129412734993,1280
33,bert-base-scratch,64,"(32, 64)",55.881235572760446,1280
34,bert-base-scratch,64,"(64, 96)",65.3834859501579,1280
35,bert-base-scratch,64,"(96, 128)",60.95602614875292,1172
36,bert-base-scratch,16,"(0, 32)",64.05471160368974,1280
37,bert-base-scratch,16,"(32, 64)",64.61992726257216,1280
38,bert-base-scratch,16,"(64, 96)",74.94409384653045,1280
39,bert-base-scratch,16,"(96, 128)",69.96908843414776,1172
40,bert-base-scratch,8,"(0, 32)",76.95843981264696,1280
41,bert-base-scratch,8,"(32, 64)",77.65995497774246,1280
42,bert-base-scratch,8,"(64, 96)",91.17894995413602,1280
43,bert-base-scratch,8,"(96, 128)",83.69608574850987,1172
44,bert-base-scratch,2,"(0, 32)",212.20413528868417,1280
45,bert-base-scratch,2,"(32, 64)",229.9824641526282,1280
46,bert-base-scratch,2,"(64, 96)",274.83263162380393,1280
47,bert-base-scratch,2,"(96, 128)",257.1694148003011,1172
48,bert-large,512,"(0, 32)",33.30044927107588,1280
49,bert-large,512,"(32, 64)",29.67500302005796,1280
50,bert-large,512,"(64, 96)",30.992630094452668,1280
51,bert-large,512,"(96, 128)",26.530140135065654,1172
52,bert-large,128,"(0, 32)",34.141015371019094,1280
53,bert-large,128,"(32, 64)",30.413489276357666,1280
54,bert-large,128,"(64, 96)",31.50120493139295,1280
55,bert-large,128,"(96, 128)",27.05844465911292,1172
56,bert-large,64,"(0, 32)",35.23726633099152,1280
57,bert-large,64,"(32, 64)",31.2226561381146,1280
58,bert-large,64,"(64, 96)",32.21525965963975,1280
